reqDate_e,reqDate_s,reqType_nm,title,workDate_nm,workregiontxt,
2019-06-13,2019-06-11,홈페이지,2019년 제8회 부산광역시 임기제공무원 임용시험 공고(기획홍보 등 3개분야),정규직,부산,
2019-06-13,2019-06-04,홈페이지,수영구 임기제공무원(질서유지요원 간호사 작업치료사 임상심리사)  임용시험 공고,정규직,부산,
2019-06-13,2019-06-03,방문접수|이메일,2019년 대학생 일자리 체험사업 참여자 모집 공고,기간제,부산 부산 부산진구,
2019-06-13,2019-05-31,홈페이지,부산광역시 농업기술센터 기간제근로자 채용(농촌진흥사업 현장기술지도 활동지원) 서류전형 합격자 및 면접일정 공고,정규직,부산,
2019-06-13,2019-05-30,방문접수,부산해양자연사박물관 공무직(실무사무원-시설청소) 채용 공고,정규직,부산 부산,
2019-06-13,2019-05-30,홈페이지,부산시설공단 두리발 운전원 및 상담원 채용 공고,정규직,부산,
2019-06-13,2019-05-29,방문접수|우편,「2019년 공원·녹지단속기간제근로자 채용」 재공고,기간제,부산 부산 남구,
2019-06-13,2019-05-29,홈페이지,2019년 부산광역시 청원경찰 채용시험 최종합격자 발표 및 합격자 등록안내 공고,정규직,부산,
2019-06-13,2019-05-29,홈페이지,부산광역시 총무과 공무직(실무사무원) 채용 서류전형 합격자 발표 및 면접시험 시행공고,정규직,부산,
2019-06-13,2019-05-28,방문접수,2019년 남구보건소 기간제근로자 채용 공고(예방접종사업),기간제,부산 부산 남구,
2019-06-13,2019-05-28,홈페이지,(재)부산문화재단 직원 채용 공고,정규직,부산,
2019-06-13,2019-05-27,홈페이지,상수도사업본부 공무직 채용 공고,정규직,부산,
2019-06-13,2019-05-24,방문접수|이메일|우편,부산광역시 남구 시간선택제임기제공무원 임용시험 공고,기간제,부산 부산 남구,
2019-06-13,2019-05-23,방문접수,2018년 기준 광업·제조업조사 조사요원 모집,기간제,부산 부산 남구,
2019-06-13,2019-05-23,홈페이지,한시임기제 군무원 채용 공고,정규직,부산,
2019-06-13,2019-05-22,홈페이지,(벡스코) 벡스코 협력사업실 디자인 전문 계약직 채용 공고,정규직,부산,
2019-06-13,2019-05-22,홈페이지,부산연구원 초빙연구원 공개채용 공고,정규직,부산,
2019-06-13,2019-05-22,이메일,부산디자인센터 무기직 직원 공개채용 공고,무기계약직,부산 부산,
2019-06-13,2019-05-21,방문접수,마을지기사무소(신평1동 장림1동) 기간제근로자 채용공고,기간제,부산 부산 사하구,
2019-06-13,2019-05-21,방문접수|우편,남구청 공원녹지과에서는 쾌적한 공원관리를 위한 기간제근로자를 다음과 같이 공개모집합니다.,기간제,부산 부산 남구,
